dress,tattoo,time,gender,ethnicity,age
Casual,Visible,10,Female,1,Under40
Casual,NotVisible,51,Male,1,Over40
Casual,Visible,31,Female,1,Under40
Casual,NotVisible,75,Male,2,Under40
Casual,Visible,132,Male,1,Under40
Casual,Visible,112,Male,1,Over40
Casual,NotVisible,13,Male,1,Under40
Casual,Visible,122,Female,1,Over40
Casual,NotVisible,7,Male,3,Under40
Casual,Visible,140,Male,2,Under40
Casual,NotVisible,120,Male,2,Under40
Casual,Visible,80,Male,1,Under40
Casual,NotVisible,4,Female,1,Under40
Casual,Visible,166,Male,1,Over40
Casual,NotVisible,5,Female,1,Under40
Casual,Visible,8,Female,3,Over40
Casual,NotVisible,43,Male,1,Under40
Casual,Visible,25,Male,1,Over40
Casual,NotVisible,29,Female,1,Under40
Casual,Visible,29,Male,1,Over40
Casual,NotVisible,61,Male,1,Under40
Casual,Visible,70,Male,1,Over40
Casual,NotVisible,40,Male,1,Over40
Casual,Visible,11,Male,2,Over40
Casual,NotVisible,35,Male,1,Under40
Casual,Visible,130,Male,1,Under40
Casual,NotVisible,3,Female,2,Under40
Casual,Visible,8,Female,2,Over40
Casual,NotVisible,71,Male,1,Over40
Casual,NotVisible,30,Male,1,Over40
Professional,NotVisible,3,Female,3,Over40
Professional,NotVisible,155,Female,1,Over40
Professional,NotVisible,50,Female,1,Under40
Professional,NotVisible,44,Male,3,Under40
Professional,NotVisible,39,Male,1,Under40
Professional,NotVisible,4,Male,1,Over40
Professional,NotVisible,45,Male,2,Under40
Professional,NotVisible,25,Female,1,Over40
Professional,NotVisible,66,Male,1,Under40
Professional,NotVisible,60,Female,1,Over40
Professional,NotVisible,80,Male,1,Over40
Professional,NotVisible,41,Female,1,Over40
Professional,NotVisible,3,Male,1,Over40
Professional,NotVisible,32,Male,1,Under40
Professional,NotVisible,5,Male,1,Under40
Professional,Visible,65,Male,1,Over40
Professional,Visible,21,Male,1,Under40
Professional,Visible,60,Male,1,Over40
Professional,Visible,5,Male,1,Under40
Professional,Visible,33,Male,1,Over40
Professional,Visible,3,Female,1,Under40
Professional,Visible,3,Female,1,Under40
Professional,Visible,4,Female,1,Over40
Professional,Visible,36,Female,1,Under40
Professional,Visible,45,Male,2,Over40
Professional,Visible,3,Male,1,Under40
Professional,Visible,4,Male,1,Over40
Professional,Visible,155,Male,3,Under40
Professional,Visible,76,Female,2,Over40
Professional,Visible,12,Female,1,Over40
Professional,NotVisible,120,Female,1,Over40
Professional,Visible,35,Female,1,Under40
Professional,NotVisible,46,Female,2,Over40
Professional,Visible,22,Female,1,Over40
Professional,NotVisible,64,Male,3,Under40
Professional,Visible,5,Male,1,Under40
Professional,NotVisible,65,Female,2,Over40
Professional,Visible,13,Female,1,Under40
Professional,NotVisible,3,Female,1,Under40
Professional,Visible,53,Male,1,Over40
Casual,NotVisible,25,Female,2,Under40
Casual,Visible,75,Female,1,Under40
Casual,NotVisible,22,Male,3,Over40
Casual,Visible,40,Female,1,Over40
Casual,NotVisible,2,Female,1,Over40
Casual,Visible,26,Female,2,Under40
Casual,NotVisible,5,Male,2,Under40
Casual,Visible,126,Male,1,Under40
Casual,NotVisible,90,Female,1,Over40
Casual,Visible,11,Female,3,Over40
