rt,button_pressed,type,trial_type,trial_index,time_elapsed,internal_node_id,workerId,userAgent,startTime,randCode,workerId2,hitId,assignmentID,endTime,completionTime,responses,question_order
20832.815,0,consent,html-button-response,0,20854,0.0-0.0,A2R0YYUAWNT7UD,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",Fri Jan 24 2020 13:57:46 GMT-0500 (Eastern Standard Time),EH1091132869,A2R0YYUAWNT7UD,3N5YJ55YXI75KX5J07FEHLLQXVQANX,39JEC7537X58819KCE3YMH0D3AOVCT,Fri Jan 24 2020 14:01:29 GMT-0500 (Eastern Standard Time),222904,NA,NA
18052.24,0,instructions,html-button-response,1,38910,0.0-1.0,A2R0YYUAWNT7UD,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",Fri Jan 24 2020 13:57:46 GMT-0500 (Eastern Standard Time),EH1091132869,A2R0YYUAWNT7UD,3N5YJ55YXI75KX5J07FEHLLQXVQANX,39JEC7537X58819KCE3YMH0D3AOVCT,Fri Jan 24 2020 14:01:29 GMT-0500 (Eastern Standard Time),222904,NA,NA
7064.115,NA,test_trial,survey-multi-choice,2,45977,0.0-2.0,A2R0YYUAWNT7UD,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",Fri Jan 24 2020 13:57:46 GMT-0500 (Eastern Standard Time),EH1091132869,A2R0YYUAWNT7UD,3N5YJ55YXI75KX5J07FEHLLQXVQANX,39JEC7537X58819KCE3YMH0D3AOVCT,Fri Jan 24 2020 14:01:29 GMT-0500 (Eastern Standard Time),222904,"{""Test_ConditionName"":""exemplars10""}",[0]
6588.7,NA,test_trial,survey-multi-choice,3,52571,0.0-3.0,A2R0YYUAWNT7UD,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",Fri Jan 24 2020 13:57:46 GMT-0500 (Eastern Standard Time),EH1091132869,A2R0YYUAWNT7UD,3N5YJ55YXI75KX5J07FEHLLQXVQANX,39JEC7537X58819KCE3YMH0D3AOVCT,Fri Jan 24 2020 14:01:29 GMT-0500 (Eastern Standard Time),222904,"{""Test_ConditionName"":""colors10""}",[0]
5608.545,NA,test_trial,survey-multi-choice,4,58185,0.0-4.0,A2R0YYUAWNT7UD,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",Fri Jan 24 2020 13:57:46 GMT-0500 (Eastern Standard Time),EH1091132869,A2R0YYUAWNT7UD,3N5YJ55YXI75KX5J07FEHLLQXVQANX,39JEC7537X58819KCE3YMH0D3AOVCT,Fri Jan 24 2020 14:01:29 GMT-0500 (Eastern Standard Time),222904,"{""Test_ConditionName"":""exemplars10""}",[0]
6101.72,NA,test_trial,survey-multi-choice,5,64291,0.0-5.0,A2R0YYUAWNT7UD,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",Fri Jan 24 2020 13:57:46 GMT-0500 (Eastern Standard Time),EH1091132869,A2R0YYUAWNT7UD,3N5YJ55YXI75KX5J07FEHLLQXVQANX,39JEC7537X58819KCE3YMH0D3AOVCT,Fri Jan 24 2020 14:01:29 GMT-0500 (Eastern Standard Time),222904,"{""Test_ConditionName"":""exemplars2""}",[0]
4772.155,NA,attentionCheck,survey-multi-choice,6,69067,0.0-6.0,A2R0YYUAWNT7UD,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",Fri Jan 24 2020 13:57:46 GMT-0500 (Eastern Standard Time),EH1091132869,A2R0YYUAWNT7UD,3N5YJ55YXI75KX5J07FEHLLQXVQANX,39JEC7537X58819KCE3YMH0D3AOVCT,Fri Jan 24 2020 14:01:29 GMT-0500 (Eastern Standard Time),222904,"{""chair_AC"":""Computer1""}",[0]
3555.695,NA,test_trial,survey-multi-choice,7,72627,0.0-7.0,A2R0YYUAWNT7UD,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",Fri Jan 24 2020 13:57:46 GMT-0500 (Eastern Standard Time),EH1091132869,A2R0YYUAWNT7UD,3N5YJ55YXI75KX5J07FEHLLQXVQANX,39JEC7537X58819KCE3YMH0D3AOVCT,Fri Jan 24 2020 14:01:29 GMT-0500 (Eastern Standard Time),222904,"{""Test_ConditionName"":""colors10""}",[0]
7931.26,NA,test_trial,survey-multi-choice,8,80562,0.0-8.0,A2R0YYUAWNT7UD,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",Fri Jan 24 2020 13:57:46 GMT-0500 (Eastern Standard Time),EH1091132869,A2R0YYUAWNT7UD,3N5YJ55YXI75KX5J07FEHLLQXVQANX,39JEC7537X58819KCE3YMH0D3AOVCT,Fri Jan 24 2020 14:01:29 GMT-0500 (Eastern Standard Time),222904,"{""Test_ConditionName"":""exemplars2""}",[0]
4735.865,NA,test_trial,survey-multi-choice,9,85303,0.0-9.0,A2R0YYUAWNT7UD,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",Fri Jan 24 2020 13:57:46 GMT-0500 (Eastern Standard Time),EH1091132869,A2R0YYUAWNT7UD,3N5YJ55YXI75KX5J07FEHLLQXVQANX,39JEC7537X58819KCE3YMH0D3AOVCT,Fri Jan 24 2020 14:01:29 GMT-0500 (Eastern Standard Time),222904,"{""Test_ConditionName"":""exemplars10""}",[0]
3082.16,NA,test_trial,survey-multi-choice,10,88391,0.0-10.0,A2R0YYUAWNT7UD,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",Fri Jan 24 2020 13:57:46 GMT-0500 (Eastern Standard Time),EH1091132869,A2R0YYUAWNT7UD,3N5YJ55YXI75KX5J07FEHLLQXVQANX,39JEC7537X58819KCE3YMH0D3AOVCT,Fri Jan 24 2020 14:01:29 GMT-0500 (Eastern Standard Time),222904,"{""Test_ConditionName"":""exemplars10""}",[0]
6490.095,NA,attentionCheck,survey-multi-choice,11,94885,0.0-11.0,A2R0YYUAWNT7UD,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",Fri Jan 24 2020 13:57:46 GMT-0500 (Eastern Standard Time),EH1091132869,A2R0YYUAWNT7UD,3N5YJ55YXI75KX5J07FEHLLQXVQANX,39JEC7537X58819KCE3YMH0D3AOVCT,Fri Jan 24 2020 14:01:29 GMT-0500 (Eastern Standard Time),222904,"{""shirt_AC"":""Sweater_Yellow""}",[0]
7039.83,NA,test_trial,survey-multi-choice,12,101929,0.0-12.0,A2R0YYUAWNT7UD,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",Fri Jan 24 2020 13:57:46 GMT-0500 (Eastern Standard Time),EH1091132869,A2R0YYUAWNT7UD,3N5YJ55YXI75KX5J07FEHLLQXVQANX,39JEC7537X58819KCE3YMH0D3AOVCT,Fri Jan 24 2020 14:01:29 GMT-0500 (Eastern Standard Time),222904,"{""Test_ConditionName"":""exemplars2""}",[0]
4129.015,NA,test_trial,survey-multi-choice,13,106063,0.0-13.0,A2R0YYUAWNT7UD,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",Fri Jan 24 2020 13:57:46 GMT-0500 (Eastern Standard Time),EH1091132869,A2R0YYUAWNT7UD,3N5YJ55YXI75KX5J07FEHLLQXVQANX,39JEC7537X58819KCE3YMH0D3AOVCT,Fri Jan 24 2020 14:01:29 GMT-0500 (Eastern Standard Time),222904,"{""Test_ConditionName"":""exemplars10""}",[0]
