Subject_Initials,Session_Number,Counterbalance_Order,Mouse/Touchscreen,Task,Run,Trial,Attempted_Trial,Number_of_Fixations,Fixation_1,Fixation_2,Fixation_3,Condition_Number,Horizontal/Vertical_Saccade,Saccade_Directions,Spatiotopic_Zone,Retinotopic_Zone,Correct_X,Correct_Y,Response_X,Response_Y,Error_X,Error_Y,Error_Dist,RT,True_Eccentricity,Measured_Eccentricity,PPD,initTrial,initCue,initFix1,initFixing1,initFix2,initFixing2,initFix3,initFixing3,initResp,sacLat1,sacLat2,sacLat3,errorCut_big_error_lag,initMask,saccade_condition
ad,1,3,M,R,1,1,1,2,1,2,0,3,2,2,5,6,618.55,732.58,618.86,718.91,0.3074,-13.6693,13.6728,2.2446,140.9712,131.3992,21.27,2.0497,2.7658,2.9658,2.9709,3.4656,3.6667,NA,NA,4.5318,0.005,0.201,NA,0,NA,1
ad,1,3,M,R,1,2,2,1,1,0,0,1,0,0,5,5,613.79,497.7,622.58,499.62,8.7924,1.9159,8.9987,2.5236,136.0158,143.3708,21.27,10.0468,10.6799,10.8797,10.885,NA,NA,NA,NA,11.3963,0.0051,NA,NA,0,NA,0
ad,1,3,M,R,1,3,3,3,1,2,1,5,2,21,5,5,656.68,483.4,660.12,502.42,3.4393,19.0153,19.3239,2.6916,159.2282,173.1326,21.27,17.1943,17.9776,18.1775,18.1828,18.6773,18.8532,19.6935,19.989,20.8598,0.0052,0.1758,0.2954,0,NA,2 return
ad,1,3,M,R,1,4,4,3,2,1,3,4,3,14,5,7,884.41,262.82,902.58,269.99,18.1636,7.1691,19.5272,3.077,184.6538,192.9461,21.27,26.8414,27.491,27.691,27.6961,28.1908,28.3576,29.2071,29.3945,30.2568,0.0049,0.1667,0.1873,0,NA,2
ad,1,3,M,R,1,5,5,3,3,4,2,4,3,23,5,3,383.67,773.1,396.29,764.65,12.6192,-8.444,15.1837,3.2272,201.5023,186.6873,21.27,36.6213,37.2879,37.4879,37.4931,37.9875,38.1812,39.0373,39.3574,40.2203,0.0051,0.1935,0.3199,0,NA,2
ad,1,3,M,R,1,6,8,2,2,1,0,3,2,1,5,4,640,277.12,671.44,263.18,31.4375,-13.9382,34.3888,1.9336,166.0953,198.4602,21.27,52.1495,52.7826,52.9827,52.9877,53.4824,53.7194,NA,NA,54.582,0.0049,0.2369,NA,0,NA,1
ad,1,3,M,R,1,7,9,1,2,0,0,1,0,0,5,5,647.15,547.75,643.5,519.77,-3.6454,-27.9811,28.2176,2.1329,147.3362,161.5847,21.27,59.8304,60.4801,60.68,60.6851,NA,NA,NA,NA,61.1967,0.0049,NA,NA,0,NA,0
ad,1,3,M,R,1,8,10,1,3,0,0,1,0,0,5,5,613.79,535.83,617.03,532.47,3.2455,-3.3624,4.6732,2.2475,199.7962,195.1246,21.27,66.6447,67.3111,67.5111,67.5166,NA,NA,NA,NA,68.0277,0.0054,NA,NA,0,NA,0
ad,1,3,M,R,1,9,11,3,2,1,2,5,2,12,5,5,659.06,540.6,634.91,526.57,-24.1587,-14.0271,27.9356,2.0991,161.2231,150.6461,21.27,73.5924,74.2589,74.459,74.464,74.9588,75.1824,76.0251,76.3428,77.2079,0.0048,0.2234,0.3175,0,NA,2 return
ad,1,3,M,R,1,10,12,2,4,2,0,2,1,3,5,2,438.48,509.62,406.74,519.7,-31.7393,10.0823,33.3022,2.0823,146.0976,159.6061,21.27,82.6228,83.2728,83.4728,83.4779,83.9725,84.1565,NA,NA,85.022,0.0049,0.1839,NA,0,NA,1
ad,1,3,M,R,1,11,13,3,1,3,4,4,3,42,5,9,846.28,773.1,838.48,745.77,-7.8082,-27.3307,28.4242,2.7462,170.549,143.4271,21.27,90.4369,91.2867,91.4865,91.494,91.9865,92.1765,93.0195,93.2626,94.119,0.0072,0.1898,0.243,0,NA,2
ad,1,3,M,R,1,12,14,3,3,4,3,5,2,21,5,5,659.06,483.4,646.21,467.97,-12.8501,-15.43,20.08,2.102,130.873,131.6194,21.27,100.2005,100.8835,101.0834,101.0901,101.5834,101.8011,102.6497,102.8617,103.7327,0.0065,0.2177,0.2119,0,NA,2 return
ad,1,3,M,R,1,13,15,3,1,3,1,5,1,43,5,5,666.21,521.53,635.74,505.01,-30.4721,-16.5246,34.6643,1.9185,190.0448,156.4586,21.27,109.1642,109.8306,110.0305,110.0356,110.5303,110.7245,111.5633,111.7407,112.613,0.005,0.1941,0.1772,0,NA,2 return
ad,1,3,M,R,1,14,16,1,4,0,0,1,0,0,5,5,647.15,545.36,644.09,536.73,-3.0595,-8.6292,9.1556,1.8833,137.0143,144.7577,21.27,117.8779,118.9442,119.1441,119.1492,NA,NA,NA,NA,119.6607,0.0049,NA,NA,0,NA,0
ad,1,3,M,R,1,15,18,2,2,1,0,3,2,1,5,4,616.17,255.67,650.36,258.79,34.1944,3.1231,34.3368,3.1197,167.8205,186.5158,21.27,131.5067,132.2565,132.4565,132.4617,132.9563,133.2066,NA,NA,134.0727,0.005,0.2502,NA,0,NA,1
