SubjectID,Condition,Word Type,Congruency,Response Time
1,ColorWord-Congruent,Color word,Congruent,462
1,ColorWord-Incongruent,Color word,Incongruent,613
1,NaturallyColored-Congruent,Naturally colored,Congruent,544
1,NaturallyColored-Incongruent,Naturally colored,Incongruent,648
2,ColorWord-Congruent,Color word,Congruent,522
2,ColorWord-Incongruent,Color word,Incongruent,557
2,NaturallyColored-Congruent,Naturally colored,Congruent,570
2,NaturallyColored-Incongruent,Naturally colored,Incongruent,570
3,ColorWord-Congruent,Color word,Congruent,939
3,ColorWord-Incongruent,Color word,Incongruent,955
3,NaturallyColored-Congruent,Naturally colored,Congruent,982
3,NaturallyColored-Incongruent,Naturally colored,Incongruent,1125
4,ColorWord-Congruent,Color word,Congruent,275
4,ColorWord-Incongruent,Color word,Incongruent,287
4,NaturallyColored-Congruent,Naturally colored,Congruent,284
4,NaturallyColored-Incongruent,Naturally colored,Incongruent,319
5,ColorWord-Congruent,Color word,Congruent,882
5,ColorWord-Incongruent,Color word,Incongruent,1245
5,NaturallyColored-Congruent,Naturally colored,Congruent,998
5,NaturallyColored-Incongruent,Naturally colored,Incongruent,1167
6,ColorWord-Congruent,Color word,Congruent,612
6,ColorWord-Incongruent,Color word,Incongruent,887
6,NaturallyColored-Congruent,Naturally colored,Congruent,614
6,NaturallyColored-Incongruent,Naturally colored,Incongruent,682
7,ColorWord-Congruent,Color word,Congruent,346
7,ColorWord-Incongruent,Color word,Incongruent,463
7,NaturallyColored-Congruent,Naturally colored,Congruent,339
7,NaturallyColored-Incongruent,Naturally colored,Incongruent,422
8,ColorWord-Congruent,Color word,Congruent,1070
8,ColorWord-Incongruent,Color word,Incongruent,1611
8,NaturallyColored-Congruent,Naturally colored,Congruent,1407
8,NaturallyColored-Incongruent,Naturally colored,Incongruent,1545
9,ColorWord-Congruent,Color word,Congruent,655
9,ColorWord-Incongruent,Color word,Incongruent,721
9,NaturallyColored-Congruent,Naturally colored,Congruent,671
9,NaturallyColored-Incongruent,Naturally colored,Incongruent,632
10,ColorWord-Congruent,Color word,Congruent,783
10,ColorWord-Incongruent,Color word,Incongruent,771
10,NaturallyColored-Congruent,Naturally colored,Congruent,632
10,NaturallyColored-Incongruent,Naturally colored,Incongruent,731
11,ColorWord-Congruent,Color word,Congruent,492
11,ColorWord-Incongruent,Color word,Incongruent,567
11,NaturallyColored-Congruent,Naturally colored,Congruent,539
11,NaturallyColored-Incongruent,Naturally colored,Incongruent,501
12,ColorWord-Congruent,Color word,Congruent,649
12,ColorWord-Incongruent,Color word,Incongruent,768
12,NaturallyColored-Congruent,Naturally colored,Congruent,655
12,NaturallyColored-Incongruent,Naturally colored,Incongruent,651
13,ColorWord-Congruent,Color word,Congruent,547
